Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain,prix_m2
,,,,,,,1,25/07/2024,Vente,330000.0,19.0,,CRS,0200,D ALSACE LORRAINE,33000.0,BORDEAUX,33,63,,KL,214,,8,"77,10",9,,,,,,,,2,2.0,Appartement,,70.0,3.0,,,,4714.285714285715
,,,,,,,1,25/07/2024,Vente,330000.0,19.0,,CRS,0200,D ALSACE LORRAINE,33000.0,BORDEAUX,33,63,,KL,214,,6,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,23/07/2024,Vente,448000.0,51.0,,RUE,3765,FURTADO,33800.0,BORDEAUX,33,63,,CW,105,,3,,,,,,,,,,1,2.0,Appartement,,120.0,5.0,,,,3733.3333333333335
,,,,,,,1,23/07/2024,Vente,448000.0,51.0,,RUE,3765,FURTADO,33800.0,BORDEAUX,33,63,,CW,105,,6,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,25/07/2024,Vente,92500.0,1.0,,RUE,2720,DU DOCTEUR ROCAZ,33000.0,BORDEAUX,33,63,,IH,138,,27,"18,07",,,,,,,,,1,2.0,Appartement,,18.0,1.0,,,,5138.888888888889
,,,,,,,1,26/07/2024,Vente,456500.0,21.0,,RUE,1515,DE LA CAPE,33200.0,BORDEAUX,33,63,,NB,42,,,,,,,,,,,,0,1.0,Maison,,94.0,3.0,S,,169.0,4856.382978723404
,,,,,,,1,30/07/2024,Vente,299000.0,50.0,,RUE,2178,COL GRANDIER-VAZEILLE,33000.0,BORDEAUX,33,63,,EV,66,,,,,,,,,,,,0,1.0,Maison,,68.0,3.0,S,,68.0,4397.058823529412
,,,,,,,1,24/07/2024,Vente,34500.0,155.0,,RUE,3975,GEORGES BONNAC,33000.0,BORDEAUX,33,63,,LX,205,,53,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,30/07/2024,Vente,368500.0,337.0,,RUE,0755,DE BEGLES,33800.0,BORDEAUX,33,63,,CJ,140,,,,,,,,,,,,0,1.0,Maison,,75.0,3.0,S,,98.0,4913.333333333333
,,,,,,,1,31/07/2024,Vente,143000.0,12.0,,RUE,0125,D ALEMBERT,33000.0,BORDEAUX,33,63,,DT,168,,11,,,,,,,,,,1,2.0,Appartement,,33.0,1.0,,,,4333.333333333333
,,,,,,,1,29/07/2024,Vente,460760.0,116.0,,RUE,5080,LAGRANGE,33000.0,BORDEAUX,33,63,,PB,201,,1,"36,39",2,"36,34",,,,,,,2,2.0,Appartement,,70.0,3.0,,,,6582.285714285715
,,,,,,,1,08/07/2024,Vente,830000.0,275.0,,RUE,9115,DE TURENNE,33000.0,BORDEAUX,33,63,,LM,11,,431,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,08/07/2024,Vente,830000.0,273.0,,RUE,9115,DE TURENNE,33000.0,BORDEAUX,33,63,,LM,11,,360,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,08/07/2024,Vente,830000.0,273.0,,RUE,9115,DE TURENNE,33000.0,BORDEAUX,33,63,,LM,11,,360,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,08/07/2024,Vente,830000.0,273.0,,RUE,9115,DE TURENNE,33000.0,BORDEAUX,33,63,,LM,11,,360,,,,,,,,,,1,2.0,Appartement,,207.0,6.0,,,,4009.6618357487923
,,,,,,,1,08/07/2024,Vente,830000.0,273.0,,RUE,9115,DE TURENNE,33000.0,BORDEAUX,33,63,,LM,11,,430,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
